num t n r0 time
1 5 128 163 9
1 6 128 163 6
1 7 128 163 5
1 5 256 655 25
1 6 256 655 23
1 7 256 655 22
1 5 512 2621 167
1 6 512 2621 153
1 7 512 2621 144
1 5 1024 10485 732
1 6 1024 10485 579
1 7 1024 10485 619
1 5 2048 41943 4227
1 6 2048 41943 4159
1 7 2048 41943 4225
1 1 128 163 3
1 2 128 163 6
1 3 128 163 3
1 4 128 163 4
1 1 256 655 23
1 2 256 655 34
1 3 256 655 7
1 4 256 655 11
1 1 512 2621 183
1 2 512 2621 295
1 3 512 2621 55
1 4 512 2621 84
1 1 1024 10485 1036
1 2 1024 10485 1831
1 3 1024 10485 322
1 4 1024 10485 537
1 1 2048 41943 8210
1 2 2048 41943 16119
1 3 2048 41943 2802
1 4 2048 41943 5356
