                    case 1:multi_threadpool_sort(W.elem, n_threads,n_threads*2);break;
                    case 2:openmp_sort(W.elem,n_threads);break;
                    case 3:multi_thread_sort(W.elem, n_threads);break;
                    case 4:std::sort(W.elem.begin(),W.elem.end());break;
16,1,2.2827
16,2,0.3854
16,3,1.8633
16,4,0.1859
32,1,2.1364
32,2,0.4193
32,3,1.955
32,4,0.925
64,1,3.9581
64,2,1.3496
64,3,2.8137
64,4,4.3711
128,1,9.0037
128,2,4.2846
128,3,6.1716
128,4,21.4792
256,1,29.3834
256,2,21.2252
256,3,21.5089
256,4,100.395
512,1,110.657
512,2,77.8988
512,3,82.3529
512,4,433.679
1024,1,443.343
1024,2,332.025
1024,3,324.844
1024,4,1885.89
2048,1,1795.9
2048,2,1321.96
2048,3,1317.79
2048,4,8194.29
4096,1,7371.44
4096,2,5579.51
4096,3,5604.95
4096,4,35285.8
8192,1,31113.5
8192,2,23947.9
8192,3,24024.3
8192,4,151880
