i,j,k
1,1,7405.87
2,1,4797.65
4,1,3553.6
8,1,2912.21
16,1,2764.44
32,1,2746.99
64,1,2751.64
128,1,2822.44
256,1,2960.96
512,1,3239.13
1,2,5598.89
2,2,3963.65
4,2,3099.75
8,2,2669.73
16,2,2567.79
32,2,2515.94
64,2,2535.13
128,2,2610.89
256,2,2737.7
512,2,3007.91
1,3,6147.19
2,3,4102.34
4,3,3184.84
8,3,2784.23
16,3,2778.77
32,3,2974.07
64,3,3605.35
128,3,5025.8
256,3,7929.67
512,3,13707.8

31: Time Elapsed: 6848.55ms
32: Time Elapsed: 5283.97ms
33: Time Elapsed: 6469.95ms
