16,1,1.108
16,2,1.32
16,3,2.235
16,4,2.441
32,1,3.662
32,2,4.018
32,3,5.321
32,4,6.247
64,1,9.181
64,2,10.52
64,3,12.795
64,4,17.043
128,1,26.256
128,2,31.968
128,3,38.45
128,4,57.804
256,1,94.956
256,2,120.14
256,3,146.296
256,4,233.834
512,1,389.764
512,2,500.769
512,3,612.573
512,4,1004.62
1024,1,1675.3
1024,2,2202.11
1024,3,2698.95
1024,4,4442.72
2048,1,7432.49
2048,2,9725.68
2048,3,11996.9
2048,4,19765.8
4096,1,32758.7
4096,2,42893.3
4096,3,53247.4
4096,4,88803.8
8192,1,145044
8192,2,189339
8192,3,235021
8192,4,387310
